Open,O1,H1,L1,V1,O2,H2,L2,V2,O3,H3,L3,V3
199.2,200.85,201.0,198.44,20543190.0,198.68,200.74,198.18,21654750.0,200.32,202.85,199.23,35738280.0
107.41,107.39,107.88,106.68,25001730.0,108.57,108.75,107.68,23606240.0,108.59,109.32,108.53,21236850.0
185.42,185.26,186.41,184.28,16543880.0,187.79,187.95,183.54,13954810.0,183.82,187.3,183.42,17675210.0
190.02,186.23,189.49,184.73,31003380.0,188.35,188.99,185.92,31440300.0,185.8,188.39,185.79,26148590.0
113.84,113.29,115.0,112.49,26176690.0,112.31,114.7,112.31,34324350.0,110.86,112.43,110.6,27049830.0
262.59,263.69,264.01,261.18,30348780.0,265.54,266.08,260.4,26609920.0,267.9,268.0,265.39,19069600.0
218.55,221.03,222.49,217.19,31434370.0,218.95,219.84,217.65,19419650.0,221.38,222.56,217.47,57977090.0
173.91,172.37,174.99,171.72,34770480.0,174.0,174.26,171.12,59332210.0,167.64,168.5,165.28,39668100.0
202.45,203.31,204.39,201.71,20191840.0,201.85,203.73,201.56,17897140.0,199.2,201.51,198.81,20578020.0
117.95,116.78,118.16,116.47,31714820.0,115.92,116.86,115.81,22115100.0,115.85,116.51,115.75,21081620.0
206.05,209.32,209.5,206.76,25525650.0,208.0,209.25,207.07,25396100.0,207.03,208.74,205.48,33408050.0
101.91,102.24,102.28,101.5,27368840.0,101.41,102.24,100.15,33490630.0,101.31,101.58,100.27,27148530.0
96.0,103.91,105.3,103.91,52979780.0,105.0,105.65,104.51,27997990.0,105.01,106.48,104.62,33655810.0
203.17,198.68,199.5,197.05,31110640.0,200.29,201.57,199.57,20899720.0,197.77,200.99,197.35,26067510.0
121.11,121.85,122.69,120.18,39483400.0,123.13,123.82,121.62,44829060.0,120.79,123.49,120.7,45479260.0
167.41,166.96,168.98,165.93,32644590.0,166.11,169.0,164.56,40613260.0,163.25,166.15,160.23,60800480.0
109.1,109.63,110.23,109.21,33754680.0,108.14,109.54,108.08,25704330.0,107.78,108.44,107.78,18648700.0
149.89,153.75,153.99,147.3,32429770.0,153.35,153.93,153.06,15649120.0,151.8,153.84,151.8,18798250.0
154.34,153.58,155.45,152.89,27715140.0,153.17,153.33,152.22,16383610.0,153.97,154.17,152.38,24452750.0
188.77,186.35,188.5,185.76,19966590.0,188.38,188.88,186.78,15228270.0,188.0,189.27,186.91,18383080.0
365.0,364.0,372.38,362.27,53038870.0,351.34,359.46,351.15,33861320.0,354.64,356.56,345.15,66118950.0
193.25,191.09,194.46,191.05,22727370.0,191.64,191.68,188.38,27308200.0,189.83,190.08,188.54,23524830.0
174.55,174.35,175.61,173.93,20523870.0,173.44,175.37,173.05,23589930.0,172.54,173.47,172.08,22342650.0
160.42,159.78,160.87,159.23,18969700.0,157.9,160.0,157.65,24093300.0,156.73,157.28,156.41,16367780.0
205.79,204.0,205.88,203.7,18582160.0,204.05,205.09,203.27,14107450.0,204.59,206.11,203.5,16866820.0
110.12,109.72,110.54,109.66,28310840.0,109.81,110.35,108.83,27623150.0,106.7,110.23,106.6,58724080.0
282.23,279.5,281.18,278.95,24626950.0,279.8,281.9,279.12,29024690.0,279.57,281.77,278.8,28575800.0
201.02,199.62,202.05,199.15,22481890.0,201.3,202.76,199.29,24619750.0,200.2,203.53,199.39,27009520.0
116.1,116.43,117.44,116.01,34525630.0,116.04,117.65,115.5,40827260.0,114.32,116.31,114.01,42876370.0
117.42,121.5,122.57,117.52,69639900.0,122.6,122.64,120.91,42832890.0,122.32,122.57,121.71,33400950.0
97.32,98.69,99.12,97.1,37708360.0,98.53,99.35,98.48,31672220.0,98.5,99.99,98.46,26575570.0
110.8,111.78,112.0,110.53,38794930.0,110.93,112.1,110.49,37622200.0,111.29,111.52,109.56,44434220.0
282.28,257.26,278.41,256.37,106721200.0,281.1,286.0,272.96,80151380.0,286.53,297.88,286.5,49678430.0
204.43,202.83,204.94,202.34,17841920.0,203.12,204.15,202.52,24185530.0,199.54,203.38,198.61,28865310.0
210.16,208.5,209.32,206.66,21007650.0,204.1,205.72,203.32,15957630.0,207.86,208.55,203.53,25897340.0
100.51,97.65,100.77,97.42,50303500.0,96.86,98.23,96.65,35131460.0,97.2,98.02,96.58,28949760.0
143.6,143.73,144.18,143.27,16658660.0,144.29,144.52,143.45,21131040.0,144.22,145.46,143.81,27649500.0
176.35,173.67,175.65,173.54,33772050.0,171.8,173.95,171.71,30953760.0,172.83,174.12,171.01,37378070.0
111.6,110.78,112.03,110.07,28507780.0,111.43,112.47,111.39,27054320.0,111.13,111.87,110.95,11475920.0
107.28,108.91,109.52,105.81,96197190.0,112.02,112.25,108.98,44654830.0,111.07,111.99,108.8,56157370.0
163.09,154.83,163.72,154.0,68171940.0,159.1,163.88,156.0,72215320.0,166.0,166.8,160.1,85957050.0
173.21,173.71,175.3,173.17,16991610.0,174.16,175.87,173.95,21846400.0,171.58,173.0,171.38,18890250.0
186.41,187.71,189.48,182.85,57430620.0,197.42,198.85,192.77,41208710.0,200.4,201.68,196.66,34908610.0
174.94,177.91,178.25,176.13,23273160.0,175.21,177.74,174.52,27825140.0,172.8,176.3,172.45,38426060.0
116.7,114.33,115.5,114.1,41430660.0,114.0,115.58,113.7,42276880.0,111.34,114.17,110.82,48929200.0
203.12,199.54,203.38,198.61,28865310.0,199.46,201.37,198.56,25668330.0,198.58,199.85,198.01,17524150.0
